Price,address,Local_area,zipcode,beds,baths,sqft,url
179900,319 N 88th Pl,Mesa,85207,3,3,1346,https://www.zillow.com/homedetails/319-N-88th-Pl-Mesa-AZ-85207/8071437_zpid/
410000,8906 E Calle Pasto,Tucson,85715,3,3,2217,https://www.zillow.com/homedetails/8906-E-Calle-Pasto-Tucson-AZ-85715/8524400_zpid/
1390000,10970 E Dale Ln,Scottsdale,85262,4,4,4659,https://www.zillow.com/homedetails/10970-E-Dale-Ln-Scottsdale-AZ-85262/8037991_zpid/
95000,814 N 82nd St #G207,Scottsdale,85257,2,1,888,https://www.zillow.com/homedetails/814-N-82nd-St-G207-Scottsdale-AZ-85257/2070306527_zpid/
1199000,21484 E Mewes Rd,Queen Creek,85142,6,4,5442,https://www.zillow.com/homedetails/21484-E-Mewes-Rd-Queen-Creek-AZ-85142/67783205_zpid/
212000,139 W Paseo Adobe,Green Valley,85614,2,2,2060,https://www.zillow.com/homedetails/139-W-Paseo-Adobe-Green-Valley-AZ-85614/8646051_zpid/
371000,873 N Deer Creek Dr,Payson,85541,2,2,1750,https://www.zillow.com/homedetails/873-N-Deer-Creek-Dr-Payson-AZ-85541/7441956_zpid/
179000,1130 E Morris Ln,Benson,85602,3,2,1459,https://www.zillow.com/homedetails/1130-E-Morris-Ln-Benson-AZ-85602/7410009_zpid/
499900,521 Monarch Cir,Lakeside,85929,3,2,1804,https://www.zillow.com/homedetails/521-Monarch-Cir-Lakeside-AZ-85929/71335056_zpid/
360000,7474 W Parnell Dr,Kirkland,86332,3,2,2175,https://www.zillow.com/homedetails/7474-W-Parnell-Dr-Kirkland-AZ-86332/63540526_zpid/
256399,14814 S Tampico Rd,Arizona City,85123,4,2,1485,https://www.zillow.com/homedetails/14814-S-Tampico-Rd-Arizona-City-AZ-85123/111043707_zpid/
415000,13623 E Aviara Pl,Vail,85641,4,2,2338,https://www.zillow.com/homedetails/13623-E-Aviara-Pl-Vail-AZ-85641/67138453_zpid/
300000,10914 W Saratoga Cir,Sun City,85351,3,2,1617,https://www.zillow.com/homedetails/10914-W-Saratoga-Cir-Sun-City-AZ-85351/7920168_zpid/
15000000,6121 N Nauni Valley Dr,Paradise Valley,85253,4,5,6200,https://www.zillow.com/homedetails/6121-N-Nauni-Valley-Dr-Paradise-Valley-AZ-85253/157726267_zpid/
205000,225 Paseo Montura,Rio Rico,85648,3,2,1273,https://www.zillow.com/homedetails/225-Paseo-Montura-Rio-Rico-AZ-85648/2069557303_zpid/
345990,"Loon Plan, Lucero at Estrella",Goodyear,85338,4,2,1613,https://www.zillow.com/community/lucero-at-estrella/2081357879_zpid/
235000,5953 E Grant Rd,Tucson,85712,2,2,1905,https://www.zillow.com/homedetails/5953-E-Grant-Rd-Tucson-AZ-85712/8454551_zpid/
225000,7801 N 44th Dr UNIT 1030,Glendale,85301,3,3,1386,https://www.zillow.com/homedetails/7801-N-44th-Dr-UNIT-1030-Glendale-AZ-85301/7724282_zpid/
799900,1780 Coyote Rd,Prescott,86303,4,3,2748,https://www.zillow.com/homedetails/1780-Coyote-Rd-Prescott-AZ-86303/8739892_zpid/
59000,27697 Santa Fe Ave,Bouse,85325,2,1,720,https://www.zillow.com/homedetails/27697-Santa-Fe-Ave-Bouse-AZ-85325/7455552_zpid/
365000,703 E Holmes Ave,Mesa,85204,3,2,1616,https://www.zillow.com/homedetails/703-E-Holmes-Ave-Mesa-AZ-85204/7629182_zpid/
735000,360 E Day Flower Dr,Oro Valley,85755,3,3,2336,https://www.zillow.com/homedetails/360-E-Day-Flower-Dr-Oro-Valley-AZ-85755/300513656_zpid/
995000,2044 William Palmer,Flagstaff,86005,3,3,2685,https://www.zillow.com/homedetails/2044-William-Palmer-Flagstaff-AZ-86005/7368612_zpid/
395000,1056 N Saguaro St,Chandler,85224,3,2,1587,https://www.zillow.com/homedetails/1056-N-Saguaro-St-Chandler-AZ-85224/8203278_zpid/
675000,8309 E Vernon Ave,Scottsdale,85257,3,2,2000,https://www.zillow.com/homedetails/8309-E-Vernon-Ave-Scottsdale-AZ-85257/7580710_zpid/
350000,6160 N Tower Ln,Prescott Valley,86314,3,2,1534,https://www.zillow.com/homedetails/6160-N-Tower-Ln-Prescott-Valley-AZ-86314/8732470_zpid/
799000,163 W Briarwood Ter,Phoenix,85045,5,4,3300,https://www.zillow.com/homedetails/163-W-Briarwood-Ter-Phoenix-AZ-85045/8134995_zpid/
325000,1223 E Grove St,Phoenix,85040,3,2,1331,https://www.zillow.com/homedetails/1223-E-Grove-St-Phoenix-AZ-85040/62726453_zpid/
510000,9836 N 181st Ave,Waddell,85355,5,3,3115,https://www.zillow.com/homedetails/9836-N-181st-Ave-Waddell-AZ-85355/71625192_zpid/
575000,3432 E Zion Way,Chandler,85249,3,2,2418,https://www.zillow.com/homedetails/3432-E-Zion-Way-Chandler-AZ-85249/94638223_zpid/
214900,4087 Quail Ave,Show Low,85901,2,2,1198,https://www.zillow.com/homedetails/4087-Quail-Ave-Show-Low-AZ-85901/134019873_zpid/
330000,130 Castle Rock Rd UNIT 20,Sedona,86351,2,2,1010,https://www.zillow.com/homedetails/130-Castle-Rock-Rd-UNIT-20-Sedona-AZ-86351/8771638_zpid/
346000,14311 N Sky Trl,Tucson,85755,2,2,1304,https://www.zillow.com/homedetails/14311-N-Sky-Trl-Tucson-AZ-85755/2069547924_zpid/
369900,252 E Refuge Loop,Vail,85641,4,3,2400,https://www.zillow.com/homedetails/252-E-Refuge-Loop-Vail-AZ-85641/97393646_zpid/
79900,16-123 N Star Vale Dr #A,Payson,85541,1,1,559,https://www.zillow.com/homedetails/16-123-N-Star-Vale-Dr-A-Payson-AZ-85541/2069542904_zpid/
250000,1176 E Cougar St,Munds Park,86017,3,2,980,https://www.zillow.com/homedetails/1176-E-Cougar-St-Munds-Park-AZ-86017/7379668_zpid/
385000,4419 N 57th Ave,Phoenix,85031,5,5,2141,https://www.zillow.com/homedetails/4419-N-57th-Ave-Phoenix-AZ-85031/7712692_zpid/
188500,704 S McLane Rd,Payson,85541,3,2,1336,https://www.zillow.com/homedetails/704-S-McLane-Rd-Payson-AZ-85541/7440298_zpid/
349500,17206 N 34th St,Phoenix,85032,3,2,1259,https://www.zillow.com/homedetails/17206-N-34th-St-Phoenix-AZ-85032/7998400_zpid/
369900,17596 S Green Willow Pl,Vail,85641,4,3,2298,https://www.zillow.com/homedetails/17596-S-Green-Willow-Pl-Vail-AZ-85641/71688051_zpid/
1895000,3961 E Norcroft Cir,Mesa,85215,6,6,7499,https://www.zillow.com/homedetails/3961-E-Norcroft-Cir-Mesa-AZ-85215/37767514_zpid/
315000,1018 E Ash St,Cottonwood,86326,3,2,1328,https://www.zillow.com/homedetails/1018-E-Ash-St-Cottonwood-AZ-86326/8776352_zpid/
494900,7537 W Eugie Ave,Peoria,85381,4,3,2346,https://www.zillow.com/homedetails/7537-W-Eugie-Ave-Peoria-AZ-85381/52429754_zpid/
375000,25802 S Brentwood Dr,Sun Lakes,85248,2,2,1545,https://www.zillow.com/homedetails/25802-S-Brentwood-Dr-Sun-Lakes-AZ-85248/8218193_zpid/
395000,844 E Rosebud Dr,San Tan Valley,85143,5,3,2639,https://www.zillow.com/homedetails/844-E-Rosebud-Dr-San-Tan-Valley-AZ-85143/67396826_zpid/
389900,67 Wagon Wheel Ln,Sonoita,85637,7,4,4000,https://www.zillow.com/homedetails/67-Wagon-Wheel-Ln-Sonoita-AZ-85637/8716833_zpid/
