address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
16300 N NAEGEL Drive,
    
Surprise,

Maricopa County,

AZ
85374",6270486,3,2,"1,585","Contemporary, Contemporary","
                $390,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/West-Point/16300-N-NAEGEL-Drive/109756729.html
"
5954 N Cazador Drive,
    
Eloy,

Pinal County,

AZ
85131",6269064,2,2,"1,510","Spanish, Spanish","
                $355,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Eloy/5954-N-Cazador-Drive/109756766.html
"
2886 Hillview Drive,
    
Bullhead City,

Mohave County,

AZ
86442",2004,3,3,"2,241",Site built 1 Story,"
                $679,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2886-Hillview-Drive/109752126.html
"
816 Chureo ,
    
Prescott,

Yavapai County,

AZ
86301","
                                ",2,2.5,"2,246",2017,"
                $829,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/816-Chureo-/108435675.html
"
7816 Moonbeam Drive,
    
Flagstaff,

Coconino County,

AZ
86004",186796,3,1,970,Single Level,"
                $325,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Doney-Park/7816-Moonbeam-Drive/109773034.html
"
1782 Pacific Avenue,
    
Prescott,

Yavapai County,

AZ
86301",1040727,3,2,"1,925","Contemporary, Contemporary","
                $498,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1782-Pacific-Avenue/109774110.html
"
12602 W Morning Vista Drive,
    
Peoria,

Maricopa County,

AZ
85383",2005,4,3,"2,763",0.171 Ac,"
                $585,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Peoria/Vistancia/12602-W-Morning-Vista-Drive/109759265.html
"
247 N MONTEREY Court,
    
Casa Grande,

Pinal County,

AZ
85194",6253804,2,2,"1,648","Ranch, Ranch","
                $335,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Casa-Grande/247-N-MONTEREY-Court/109759159.html
"
420 Panorama Blvd,
    
Sedona,

Yavapai County,

AZ
86336",527286,2,2,"2,012","Ranch, Ranch","
                $839,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Sedona/420-Panorama-Blvd/109774959.html
"
5109 E Gelding Drive,
    
Scottsdale,

Maricopa County,

AZ
85254",1979,4,2,"2,064",0.256 Ac,"
                $825,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/West-Cactus/5109-E-Gelding-Drive/109756972.html
"
3161 Trail End,
    
Heber - Overgaard,

Navajo County,

AZ
85933",236796,3,3,"2,420",Multi-Level,"
                $559,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Heber-Overgaard/3161-Trail-End/109752438.html
"
10525 W PASADENA Avenue,
    
Glendale,

Maricopa County,

AZ
85307",6270403,3,2,"1,297","Ranch, Ranch","
                $355,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Glendale-Airport/10525-W-PASADENA-Avenue/109756995.html
"
21431 N MORNING DOVE Drive,
    
Sun City West,

Maricopa County,

AZ
85375",6270038,3,2,"2,528","Ranch, Ranch","
                $398,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Sun-City-West/21431-N-MORNING-DOVE-Drive/109756577.html
