Price,address,Local_area,zipcode,latitude,longitude,beds,baths,sqft,url
"$389,900",4225 E Brookwood Ct,Phoenix,85048,33.302971,-111.992101,3 bds,2 ba,"1,352",https://www.zillow.com/homedetails/4225-E-Brookwood-Ct-Phoenix-AZ-85048/8259599_zpid/
"$379,000",3259 Thunderbird Dr,Lake Havasu City,86406,34.48228,-114.290463,3 bds,2 ba,"1,453",https://www.zillow.com/homedetails/3259-Thunderbird-Dr-Lake-Havasu-City-AZ-86406/104028182_zpid/
"$725,000",5536 Lemonmint Ln,Prescott,86305,34.622714,-112.453784,3 bds,2 ba,"2,561",https://www.zillow.com/homedetails/5536-Lemonmint-Ln-Prescott-AZ-86305/64962427_zpid/
"$414,900",11640 N Tatum Blvd UNIT 1010,Phoenix,85028,33.593912,-111.980939,2 bds,2 ba,"1,147",https://www.zillow.com/homedetails/11640-N-Tatum-Blvd-UNIT-1010-Phoenix-AZ-85028/82821100_zpid/
"$268,900",5125 S Missiondale Rd,Tucson,85706,32.158827,-110.968733,2 bds,1 ba,"1,015",https://www.zillow.com/homedetails/5125-S-Missiondale-Rd-Tucson-AZ-85706/8560304_zpid/
"$392,000",7724 W Oraibi Dr,Glendale,85308,33.661676,-112.224099,3 bds,3 ba,"1,422",https://www.zillow.com/homedetails/7724-W-Oraibi-Dr-Glendale-AZ-85308/7891700_zpid/
"$665,000",361 E Hopkins Rd,Gilbert,85295,33.296723,-111.782193,4 bds,3 ba,"2,407",https://www.zillow.com/homedetails/361-E-Hopkins-Rd-Gilbert-AZ-85295/52433717_zpid/
"$325,000",86 E Zinnia Pl,San Tan Valley,85143,33.156354,-111.56594,3 bds,2 ba,"1,402",https://www.zillow.com/homedetails/86-E-Zinnia-Pl-San-Tan-Valley-AZ-85143/60140879_zpid/
"$189,000",2733 S Player Ave,Sierra Vista,85650,31.520678,-110.258338,3 bds,2 ba,"1,627",https://www.zillow.com/homedetails/2733-S-Player-Ave-Sierra-Vista-AZ-85650/2069536856_zpid/
"$425,000",2820 E Carla Vista Dr,Chandler,85225,33.310764,-111.792365,3 bds,2 ba,"1,623",https://www.zillow.com/homedetails/2820-E-Carla-Vista-Dr-Chandler-AZ-85225/8284277_zpid/
"$385,000",6105 Winchester Dr,Prescott Valley,86314,34.63214,-112.341667,3 bds,2 ba,"1,461",https://www.zillow.com/homedetails/6105-Winchester-Dr-Prescott-Valley-AZ-86314/8732424_zpid/
"$240,000",2109 W Rose Garden Ln,Phoenix,85027,33.676284,-112.104667,3 bds,2 ba,"1,092",https://www.zillow.com/homedetails/2109-W-Rose-Garden-Ln-Phoenix-AZ-85027/7970917_zpid/
"$700,000",1810 E Willetta St,Phoenix,85006,33.464014,-112.042807,3 bds,3 ba,"2,076",https://www.zillow.com/homedetails/1810-E-Willetta-St-Phoenix-AZ-85006/7528786_zpid/
